ДЕТАЛЬНАЯ СТАТИСТИКА ДЕТЕКЦИИ ПЛАМЕНИ
============================================================

ПАРАМЕТРЫ ДЕТЕКЦИИ:
------------------------------------------------------------
  buffer_size: 15
  brightness_thresh: 215
  saturation_thresh: 115
  flicker_weight: 0.25
  min_flicker_frames: 5
  use_color_filter: True
  confidence_threshold: 15.0
  flame_percent_threshold: 0.15
  negative_keep_ratio: 0.05

РЕЗУЛЬТАТЫ ПО КАДРАМ:
------------------------------------------------------------
Frame | Flame% | Confidence% | Status | Filename
  120 |   6.20 |        66.5 | flame    FLAME | frame_000369.jpg
  121 |   7.98 |        65.7 | flame    FLAME | frame_000370.jpg
  122 |   8.32 |        65.9 | flame    FLAME | frame_000371.jpg
  123 |   6.52 |        66.1 | flame    FLAME | frame_000372.jpg
  124 |   7.25 |        65.0 | flame    FLAME | frame_000373.jpg
  125 |   5.27 |        66.0 | flame    FLAME | frame_000374.jpg
  126 |   6.91 |        65.9 | flame    FLAME | frame_000375.jpg
  127 |   7.39 |        65.6 | flame    FLAME | frame_000376.jpg
  128 |   6.74 |        66.3 | flame    FLAME | frame_000377.jpg
  129 |   7.46 |        66.0 | flame    FLAME | frame_000378.jpg
  130 |   8.12 |        65.0 | flame    FLAME | frame_000379.jpg
  131 |   7.48 |        65.3 | flame    FLAME | frame_000380.jpg
  132 |   7.21 |        65.9 | flame    FLAME | frame_000381.jpg
  133 |   6.65 |        66.2 | flame    FLAME | frame_000382.jpg
  134 |   6.21 |        66.1 | flame    FLAME | frame_000383.jpg
  135 |   6.25 |        65.9 | flame    FLAME | frame_000384.jpg
  136 |   5.96 |        66.2 | flame    FLAME | frame_000385.jpg
  137 |   6.72 |        65.9 | flame    FLAME | frame_000386.jpg
  138 |   6.59 |        65.9 | flame    FLAME | frame_000387.jpg
  139 |   5.88 |        66.0 | flame    FLAME | frame_000388.jpg
  140 |   5.85 |        66.0 | flame    FLAME | frame_000389.jpg
  141 |   6.36 |        66.5 | flame    FLAME | frame_000390.jpg
  142 |   7.16 |        66.0 | flame    FLAME | frame_000391.jpg
  143 |   7.27 |        66.0 | flame    FLAME | frame_000392.jpg
  144 |   8.35 |        65.9 | flame    FLAME | frame_000393.jpg
  145 |   6.97 |        66.0 | flame    FLAME | frame_000394.jpg
  146 |   6.83 |        66.1 | flame    FLAME | frame_000395.jpg
  147 |   5.28 |        66.5 | flame    FLAME | frame_000396.jpg
  148 |   6.28 |        66.4 | flame    FLAME | frame_000397.jpg
  149 |   6.41 |        66.3 | flame    FLAME | frame_000398.jpg
  150 |   7.46 |        66.1 | flame    FLAME | frame_000399.jpg
  151 |   8.45 |        65.9 | flame    FLAME | frame_000400.jpg
  152 |   7.07 |        65.9 | flame    FLAME | frame_000401.jpg
  153 |   6.85 |        66.1 | flame    FLAME | frame_000402.jpg
  154 |   7.06 |        65.8 | flame    FLAME | frame_000403.jpg
  155 |   6.50 |        66.0 | flame    FLAME | frame_000404.jpg
  156 |   7.09 |        66.3 | flame    FLAME | frame_000405.jpg
  157 |   7.01 |        66.0 | flame    FLAME | frame_000406.jpg
  158 |   7.06 |        66.1 | flame    FLAME | frame_000407.jpg
  159 |   6.15 |        66.3 | flame    FLAME | frame_000408.jpg
  160 |   6.50 |        66.2 | flame    FLAME | frame_000409.jpg
  161 |   6.48 |        66.2 | flame    FLAME | frame_000410.jpg
  162 |   6.67 |        65.8 | flame    FLAME | frame_000411.jpg
  163 |   7.46 |        66.0 | flame    FLAME | frame_000412.jpg
  164 |   7.49 |        66.1 | flame    FLAME | frame_000413.jpg
  165 |   5.99 |        65.7 | flame    FLAME | frame_000414.jpg
  166 |   5.70 |        66.7 | flame    FLAME | frame_000415.jpg
  167 |   6.09 |        66.4 | flame    FLAME | frame_000416.jpg
  168 |   7.32 |        66.7 | flame    FLAME | frame_000417.jpg
  169 |   6.45 |        66.3 | flame    FLAME | frame_000418.jpg
  170 |   6.06 |        66.7 | flame    FLAME | frame_000419.jpg
  171 |   7.03 |        66.5 | flame    FLAME | frame_000420.jpg
  172 |   6.14 |        66.5 | flame    FLAME | frame_000421.jpg
  173 |   6.68 |        66.2 | flame    FLAME | frame_000422.jpg
  174 |   6.41 |        65.8 | flame    FLAME | frame_000423.jpg
  175 |   6.57 |        65.9 | flame    FLAME | frame_000424.jpg
  176 |   6.75 |        65.8 | flame    FLAME | frame_000425.jpg
  177 |   6.38 |        66.4 | flame    FLAME | frame_000426.jpg
  178 |   6.41 |        66.1 | flame    FLAME | frame_000427.jpg
  179 |   6.09 |        66.2 | flame    FLAME | frame_000428.jpg
  180 |   6.30 |        66.8 | flame    FLAME | frame_000429.jpg
  181 |   7.56 |        66.6 | flame    FLAME | frame_000430.jpg
  182 |   7.77 |        66.4 | flame    FLAME | frame_000431.jpg
  183 |   6.17 |        66.2 | flame    FLAME | frame_000432.jpg
  184 |   6.39 |        66.4 | flame    FLAME | frame_000433.jpg
  185 |   6.57 |        66.3 | flame    FLAME | frame_000434.jpg
  186 |   5.53 |        66.3 | flame    FLAME | frame_000435.jpg
  187 |   5.89 |        66.3 | flame    FLAME | frame_000436.jpg
  188 |   5.79 |        66.1 | flame    FLAME | frame_000437.jpg
  189 |   6.31 |        66.6 | flame    FLAME | frame_000438.jpg
  190 |   6.93 |        66.5 | flame    FLAME | frame_000439.jpg
  191 |   7.73 |        66.6 | flame    FLAME | frame_000440.jpg
  192 |   7.35 |        66.1 | flame    FLAME | frame_000441.jpg
  193 |   5.80 |        66.3 | flame    FLAME | frame_000442.jpg
  194 |   6.13 |        66.6 | flame    FLAME | frame_000443.jpg
  195 |   6.06 |        66.2 | flame    FLAME | frame_000444.jpg
  196 |   5.93 |        66.2 | flame    FLAME | frame_000445.jpg
  197 |   5.93 |        66.0 | flame    FLAME | frame_000446.jpg
  198 |   5.44 |        65.9 | flame    FLAME | frame_000447.jpg
  199 |   7.00 |        65.7 | flame    FLAME | frame_000448.jpg
  200 |   7.07 |        66.0 | flame    FLAME | frame_000449.jpg
  201 |   7.66 |        66.4 | flame    FLAME | frame_000450.jpg
  202 |   7.10 |        66.5 | flame    FLAME | frame_000451.jpg
  203 |   6.72 |        66.1 | flame    FLAME | frame_000452.jpg
  204 |   6.47 |        66.3 | flame    FLAME | frame_000453.jpg
  205 |   7.10 |        66.5 | flame    FLAME | frame_000454.jpg
  206 |   7.48 |        66.5 | flame    FLAME | frame_000455.jpg
  207 |   6.78 |        65.5 | flame    FLAME | frame_000456.jpg
  208 |   6.48 |        66.2 | flame    FLAME | frame_000457.jpg
  209 |   6.22 |        66.2 | flame    FLAME | frame_000458.jpg
  210 |   7.07 |        66.5 | flame    FLAME | frame_000459.jpg
  211 |   7.31 |        65.9 | flame    FLAME | frame_000460.jpg
  212 |   5.53 |        66.3 | flame    FLAME | frame_000461.jpg
  213 |   5.68 |        66.8 | flame    FLAME | frame_000462.jpg
  214 |   6.71 |        66.4 | flame    FLAME | frame_000463.jpg
  215 |   6.49 |        66.3 | flame    FLAME | frame_000464.jpg
  216 |   6.62 |        66.2 | flame    FLAME | frame_000465.jpg
  217 |   6.43 |        66.0 | flame    FLAME | frame_000466.jpg
  218 |   7.01 |        66.2 | flame    FLAME | frame_000467.jpg
  219 |   6.13 |        66.1 | flame    FLAME | frame_000468.jpg
  220 |   6.83 |        65.8 | flame    FLAME | frame_000469.jpg
  221 |   7.22 |        65.9 | flame    FLAME | frame_000470.jpg
  222 |   7.27 |        66.3 | flame    FLAME | frame_000471.jpg
  223 |   7.25 |        66.1 | flame    FLAME | frame_000472.jpg
  224 |   7.24 |        66.2 | flame    FLAME | frame_000473.jpg
  225 |   7.04 |        66.5 | flame    FLAME | frame_000474.jpg
  226 |   6.90 |        66.3 | flame    FLAME | frame_000475.jpg
  227 |   6.91 |        66.0 | flame    FLAME | frame_000476.jpg
  228 |   6.62 |        66.1 | flame    FLAME | frame_000477.jpg
  229 |   6.10 |        66.7 | flame    FLAME | frame_000478.jpg
  230 |   6.32 |        66.5 | flame    FLAME | frame_000479.jpg
  231 |   7.57 |        66.1 | flame    FLAME | frame_000480.jpg
  232 |   7.36 |        65.8 | flame    FLAME | frame_000481.jpg
  233 |   6.50 |        66.0 | flame    FLAME | frame_000482.jpg
  234 |   5.88 |        65.8 | flame    FLAME | frame_000483.jpg
  235 |   6.13 |        65.9 | flame    FLAME | frame_000484.jpg
  236 |   6.02 |        65.7 | flame    FLAME | frame_000485.jpg
  237 |   6.75 |        66.0 | flame    FLAME | frame_000486.jpg
  238 |   6.20 |        65.8 | flame    FLAME | frame_000487.jpg
  239 |   5.97 |        66.3 | flame    FLAME | frame_000488.jpg
  240 |   6.39 |        67.0 | flame    FLAME | frame_000489.jpg
  241 |   6.42 |        67.1 | flame    FLAME | frame_000490.jpg
  242 |   5.36 |        66.7 | flame    FLAME | frame_000491.jpg
  243 |   5.70 |        66.4 | flame    FLAME | frame_000492.jpg
  244 |   5.91 |        66.5 | flame    FLAME | frame_000493.jpg
  245 |   5.82 |        66.6 | flame    FLAME | frame_000494.jpg
  246 |   6.12 |        66.2 | flame    FLAME | frame_000495.jpg
  247 |   6.94 |        65.7 | flame    FLAME | frame_000496.jpg
  248 |   6.60 |        65.9 | flame    FLAME | frame_000497.jpg
  249 |   6.31 |        66.1 | flame    FLAME | frame_000498.jpg
  250 |   7.23 |        66.1 | flame    FLAME | frame_000499.jpg
  251 |   6.54 |        65.9 | flame    FLAME | frame_000500.jpg
  252 |   6.14 |        66.3 | flame    FLAME | frame_000501.jpg
  253 |   6.28 |        66.3 | flame    FLAME | frame_000502.jpg
  254 |   6.44 |        66.3 | flame    FLAME | frame_000503.jpg
  255 |   6.98 |        66.2 | flame    FLAME | frame_000504.jpg
  256 |   6.44 |        66.1 | flame    FLAME | frame_000505.jpg
  257 |   6.55 |        66.2 | flame    FLAME | frame_000506.jpg
  258 |   6.61 |        65.9 | flame    FLAME | frame_000507.jpg
  259 |   6.41 |        66.4 | flame    FLAME | frame_000508.jpg
  260 |   6.56 |        66.4 | flame    FLAME | frame_000509.jpg
  261 |   6.54 |        66.4 | flame    FLAME | frame_000510.jpg
  262 |   7.88 |        66.5 | flame    FLAME | frame_000511.jpg
  263 |   7.39 |        66.5 | flame    FLAME | frame_000512.jpg
  264 |   6.73 |        66.3 | flame    FLAME | frame_000513.jpg
  265 |   6.31 |        66.3 | flame    FLAME | frame_000514.jpg
  266 |   6.91 |        66.1 | flame    FLAME | frame_000515.jpg
  267 |   6.66 |        66.1 | flame    FLAME | frame_000516.jpg
  268 |   5.80 |        66.0 | flame    FLAME | frame_000517.jpg
  269 |   6.50 |        66.1 | flame    FLAME | frame_000518.jpg
  270 |   7.96 |        65.9 | flame    FLAME | frame_000519.jpg
  271 |   6.22 |        66.5 | flame    FLAME | frame_000520.jpg
  272 |   6.32 |        66.4 | flame    FLAME | frame_000521.jpg
  273 |   6.39 |        66.5 | flame    FLAME | frame_000522.jpg
  274 |   6.98 |        66.1 | flame    FLAME | frame_000523.jpg
  275 |   7.38 |        66.2 | flame    FLAME | frame_000524.jpg
  276 |   8.11 |        65.8 | flame    FLAME | frame_000525.jpg
  277 |   7.52 |        65.5 | flame    FLAME | frame_000526.jpg
